element,species,degeneracy,energy_ev
Al,1,4,5.82
Al,1,6,5.82
Al,1,2,5.83
Al,1,8,5.85
Al,1,6,5.85
Al,1,4,5.85
Al,1,6,5.85
Al,1,2,5.86
Al,1,4,5.87
Al,1,6,5.87
Al,1,2,5.88
Al,1,4,5.89
Al,1,6,5.89
Al,1,2,5.89
Al,1,4,5.91
Al,1,6,5.91
Al,1,2,5.91
Al,1,6,5.92
Al,1,4,5.92
Al,1,2,5.92
Al,1,6,5.93
Al,1,4,5.93
Al,1,6,5.93
Al,1,4,5.93
Al,1,6,5.94
Al,1,4,5.94
Al,1,6,5.94
Al,1,4,5.94
Al,1,4,5.95
Al,1,6,5.95
Al,1,4,5.95
Al,1,6,5.95
Al,1,6,5.96
Al,1,4,5.96
Al,1,6,5.96
Al,1,4,5.96
Al,1,4,5.96
Al,1,6,5.96
Al,1,4,5.96
Al,1,6,5.96
Al,1,6,5.96
Al,1,4,5.96
Al,1,6,5.97
Al,1,4,5.97
Al,1,4,5.97
Al,1,6,5.97
Al,1,4,5.97
Al,1,6,5.97
Al,1,6,5.97
Al,1,4,5.97
Al,1,6,5.97
Al,1,4,5.97
Al,1,4,5.97
Al,1,6,5.97
Al,1,4,5.97
Al,1,6,5.97
Al,1,6,5.97
Al,1,4,5.97
Al,1,6,5.97
Al,1,4,5.97
Al,1,2,6.42
Al,1,2,7.02
Al,1,4,7.03
Al,1,2,7.65
Al,1,4,7.66
Al,1,6,7.67
Al,1,4,8.39
Al,1,6,8.39
Al,1,2,8.66
Al,1,4,8.66
Al,1,4,8.71
Al,1,4,8.75
Al,1,2,8.77
Al,1,4,8.77
Al,1,2,8.83
Al,1,4,8.83
Al,1,6,8.84
Al,1,8,8.84
Al,1,6,8.88
Al,1,4,8.88
Al,1,6,8.95
Al,1,4,8.96
Al,1,2,8.96
Al,1,6,9.05
Al,1,8,9.06
Al,1,2,9.06
Al,1,6,9.3
Al,1,4,9.49
Al,1,6,9.49
Al,1,2,9.62
Al,1,4,9.63
Al,1,2,9.63
Al,1,4,9.64
Al,1,4,9.65
Al,1,6,9.7
Al,1,4,9.7
Al,1,6,9.75
Al,1,8,9.76
Al,1,2,9.76
Al,1,4,9.94
Al,1,6,9.94
Al,1,2,10.01
Al,1,4,10.01
Al,1,2,10.02
Al,1,4,10.02
Al,1,4,10.03
Al,1,6,10.05
Al,1,4,10.05
Al,1,4,10.08
Al,1,4,10.21
Al,1,2,10.21
Al,1,4,10.22
Al,1,6,10.24
Al,1,4,10.24
Al,1,2,10.25
Al,1,4,10.32
Al,1,4,10.33
Al,1,4,10.35
Al,1,6,10.35
Al,1,6,10.35
Al,1,4,10.35
Al,1,2,10.36
Al,1,2,10.39
Al,1,4,10.4
Al,1,4,10.4
Al,1,6,10.42
Al,1,4,10.42
Al,1,4,10.45
Al,1,6,10.47
Al,1,2,10.47
Al,1,4,10.49
Al,1,6,10.5
Al,1,2,10.5
Al,2,1,0
Al,2,1,4.64
Al,2,3,4.64
Al,2,5,4.66
Al,2,3,7.42
Al,2,5,10.6
Al,2,3,11.32
Al,2,1,11.67
Al,2,3,11.67
Al,2,5,11.69
Al,2,1,11.82
Al,2,7,11.85
Al,2,5,11.85
Al,2,3,11.85
Al,2,1,13.07
Al,2,3,13.07
Al,2,5,13.08
Al,2,3,13.26
Al,2,5,13.65
Al,2,1,13.84
Al,2,3,14.89
Al,2,1,15.05
Al,2,7,15.06
Al,2,5,15.06
Al,2,3,15.06
Al,2,5,15.3
Al,2,7,15.3
Al,2,9,15.3
Al,2,7,15.31
Al,2,5,15.47
Al,2,1,15.59
Al,2,3,15.59
Al,2,5,15.59
Al,2,3,15.61
Al,2,3,16.39
Al,2,1,16.46
Al,2,5,16.47
Al,2,7,16.47
Al,2,3,16.47
Al,2,5,16.54
Al,2,7,16.54
Al,2,9,16.55
Al,2,7,16.57
Al,2,5,16.6
Al,2,11,16.64
Al,2,7,16.64
Al,2,9,16.64
Al,2,9,16.64
Al,2,3,16.73
Al,2,1,16.74
Al,2,3,16.74
Al,2,5,16.74
Al,2,3,17.17
Al,2,5,17.17
Al,2,7,17.18
Al,2,9,17.18
Al,2,1,17.21
Al,2,5,17.21
Al,2,3,17.21
Al,2,7,17.21
Al,2,7,17.26
Al,2,5,17.27
Al,2,11,17.31
Al,2,9,17.31
Al,2,7,17.31
Al,2,9,17.31
Al,2,3,17.35
Al,2,1,17.37
Al,2,3,17.37
Al,2,5,17.37
Al,2,5,17.49
Al,2,7,17.5
Al,2,9,17.5
Al,2,3,17.63
Al,2,1,17.65
Al,2,3,17.65
Al,2,5,17.65
Al,2,7,17.65
Al,2,7,17.68
Al,2,5,17.68
Al,2,7,17.71
Al,2,9,17.71
Al,2,11,17.71
Al,2,9,17.71
Al,2,3,17.72
Al,2,1,17.75
Al,2,3,17.75
Al,2,5,17.75
Al,2,5,17.76
Al,2,7,17.76
Al,2,9,17.76
Al,2,3,17.92
Al,2,3,17.93
Al,2,5,17.93
Al,2,7,17.93
Al,2,1,17.93
Al,2,5,17.95
Al,2,7,17.95
Al,2,3,17.97
Al,2,7,17.97
Al,2,11,17.97
Al,2,9,17.97
Al,2,9,17.97
Al,2,13,17.98
Al,2,11,17.98
Al,2,9,17.98
Al,2,11,17.98
Al,2,5,17.99
Al,2,7,17.99
